year,TSI,TSI_UNC,time_bnds_lwr,time_bnds_upr
1836,1361.1044,0.6258,82544.0,82910.0
1837,1361.233,0.7018,82910.0,83275.0
1838,1360.9988,0.5985,83275.0,83640.0
1839,1360.8583,0.5358,83640.0,84005.0
1840,1360.7417,0.4596,84005.0,84371.0
1841,1360.5966,0.3571,84371.0,84736.0
1842,1360.5472,0.3077,84736.0,85101.0
1843,1360.4785,0.2501,85101.0,85466.0
1844,1360.5028,0.2567,85466.0,85832.0
1845,1360.6136,0.339,85832.0,86197.0
1846,1360.7006,0.4289,86197.0,86562.0
1847,1360.7709,0.5026,86562.0,86927.0
1848,1360.9705,0.6299,86927.0,87293.0
1849,1360.9908,0.6572,87293.0,87658.0
1850,1360.7638,0.5416,87658.0,88023.0
1851,1360.7661,0.5148,88023.0,88388.0
1852,1360.7635,0.4739,88388.0,88754.0
1853,1360.6677,0.3972,88754.0,89119.0
1854,1360.5201,0.3134,89119.0,89484.0
1855,1360.4224,0.2682,89484.0,89849.0
1856,1360.3945,0.265,89849.0,90215.0
1857,1360.4717,0.3326,90215.0,90580.0
1858,1360.6649,0.4623,90580.0,90945.0
1859,1360.8915,0.5976,90945.0,91310.0
1860,1360.9705,0.6507,91310.0,91676.0
1861,1360.8665,0.5971,91676.0,92041.0
1862,1360.7474,0.5106,92041.0,92406.0
1863,1360.6658,0.4347,92406.0,92771.0
1864,1360.6586,0.3924,92771.0,93137.0
1865,1360.5726,0.3249,93137.0,93502.0
1866,1360.513,0.2856,93502.0,93867.0
1867,1360.4227,0.2563,93867.0,94232.0
1868,1360.5715,0.3601,94232.0,94598.0
1869,1360.8141,0.5149,94598.0,94963.0
1870,1361.0688,0.6718,94963.0,95328.0
1871,1361.0037,0.6668,95328.0,95693.0
1872,1360.9293,0.6406,95693.0,96059.0
1873,1360.7247,0.5393,96059.0,96424.0
1874,1360.5881,0.4614,96424.0,96789.0
1875,1360.4443,0.3735,96789.0,97154.0
1876,1360.4117,0.3276,97154.0,97520.0
1877,1360.4122,0.3156,97520.0,97885.0
1878,1360.3529,0.3064,97885.0,98250.0
1879,1360.3329,0.3396,98250.0,98615.0
1880,1360.4572,0.4407,98615.0,98981.0
1881,1360.5952,0.545,98981.0,99346.0
1882,1360.5134,0.5631726,99346.0,99711.0
1883,1360.4916,0.61209244,99711.0,100076.0
1884,1360.6516,0.6306754,100076.0,100442.0
1885,1360.5322,0.5826546,100442.0,100807.0
1886,1360.3662,0.48128757,100807.0,101172.0
1887,1360.3097,0.44728693,101172.0,101537.0
1888,1360.2631,0.4297741,101537.0,101903.0
1889,1360.2515,0.41980696,101903.0,102268.0
1890,1360.2816,0.41910622,102268.0,102633.0
1891,1360.5386,0.55326194,102633.0,102998.0
1892,1360.6478,0.7002061,102998.0,103364.0
1893,1360.8162,0.7832981,103364.0,103729.0
1894,1360.9304,0.75423217,103729.0,104094.0
1895,1360.7867,0.65908545,104094.0,104459.0
1896,1360.5797,0.530363,104459.0,104825.0
1897,1360.4427,0.5076946,104825.0,105190.0
1898,1360.414,0.4945233,105190.0,105555.0
1899,1360.3433,0.4270134,105555.0,105920.0
1900,1360.3202,0.4115225,105920.0,106285.0
1901,1360.2567,0.36886117,106285.0,106650.0
1902,1360.2842,0.3523157,106650.0,107015.0
1903,1360.4728,0.4216198,107015.0,107380.0
1904,1360.7462,0.49564645,107380.0,107746.0
1905,1360.5734,0.6143574,107746.0,108111.0
1906,1360.7678,0.5562654,108111.0,108476.0
1907,1360.6509,0.61513454,108476.0,108841.0
1908,1360.7117,0.567903,108841.0,109207.0
1909,1360.5845,0.5592076,109207.0,109572.0
1910,1360.4545,0.44230482,109572.0,109937.0
1911,1360.3549,0.37059242,109937.0,110302.0
1912,1360.3066,0.33847725,110302.0,110668.0
1913,1360.3071,0.31389996,110668.0,111033.0
1914,1360.4119,0.35057917,111033.0,111398.0
1915,1360.7261,0.52437836,111398.0,111763.0
1916,1360.959,0.5772978,111763.0,112129.0
1917,1361.1509,0.8008919,112129.0,112494.0
1918,1361.1011,0.69331825,112494.0,112859.0
1919,1360.839,0.63396686,112859.0,113224.0
1920,1360.6461,0.49029756,113224.0,113590.0
1921,1360.5411,0.40818116,113590.0,113955.0
1922,1360.4413,0.3296313,113955.0,114320.0
1923,1360.4375,0.2661643,114320.0,114685.0
1924,1360.5037,0.3132907,114685.0,115051.0
1925,1360.7192,0.46934345,115051.0,115416.0
1926,1360.8359,0.5711469,115416.0,115781.0
1927,1361.0249,0.5686003,115781.0,116146.0
1928,1360.8993,0.6182113,116146.0,116512.0
1929,1360.8456,0.5713742,116512.0,116877.0
1930,1360.8109,0.3871334,116877.0,117242.0
